timestamp_utc,equity,token_pair,equity_price,token_price,premium_discount_pct,bid_depth_1pct_usd,ask_depth_1pct_usd,orderbook_imbalance,spread_pct,score,label,signal_label,confidence,reason,action
2026-05-04T18:25:54.793526+00:00,TSLA,TSLAx/USD,391.1099853515625,391.97,0.2198907419007658,406314.1544561,334075.41772722,0.0975685496432055,0.0639100146993033,25,NEUTRAL,NO MATERIAL DISLOCATION,LOW,Tokenized price is close to the underlying equity. Order book pressure is balanced. Liquidity depth is sufficient. Spread is tight.,HOLD
2026-05-04T18:25:55.237230+00:00,MSFT,MSFTx/USD,414.4700012207031,414.88,0.098921219410171,19921.811839200003,9427.3566748,0.3575724865729667,0.0554851938966193,25,NEUTRAL,NO MATERIAL DISLOCATION,LOW,"Tokenized price is close to the underlying equity. Buyer pressure is stronger than seller pressure. Liquidity depth is thin, so the signal is less reliable. Spread is tight.",HOLD
2026-05-04T18:25:55.654339+00:00,AMZN,AMZNx/USD,271.1099853515625,271.4,0.1069730604209948,15135.288744,19225.58513504,-0.1190393587031285,0.0922219967906745,0,NEUTRAL,NO MATERIAL DISLOCATION,LOW,"Tokenized price is close to the underlying equity. Order book pressure is balanced. Liquidity depth is thin, so the signal is less reliable. Spread is tight.",HOLD
2026-05-16T15:01:52.938040+00:00,AAPL,AAPLx/USD,300.2200012207031,298.43,-0.5962298359286263,226875.38585972,401572.16296788,-0.2779814758352794,0.2141900937081614,-10,NEUTRAL,NO MATERIAL DISLOCATION,LOW,Tokenized price is close to the underlying equity. Seller pressure is stronger than buyer pressure. Liquidity depth is sufficient. Spread is moderate.,HOLD
2026-05-16T15:01:53.694973+00:00,NVDA,NVDAx/USD,225.22999572753903,223.11,-0.941258166209624,170229.79238472003,201732.13689357,-0.0846923892721314,0.1791713325867759,25,NEUTRAL,NO MATERIAL DISLOCATION,LOW,Tokenized price is close to the underlying equity. Order book pressure is balanced. Liquidity depth is sufficient. Spread is tight.,HOLD
2026-05-16T15:01:54.284220+00:00,TSLA,TSLAx/USD,422.1300048828125,418.25,-0.9191492757994372,208823.60029080004,403622.46146323,-0.3180669667701527,0.2130690319723217,-10,NEUTRAL,NO MATERIAL DISLOCATION,LOW,Tokenized price is close to the underlying equity. Seller pressure is stronger than buyer pressure. Liquidity depth is sufficient. Spread is moderate.,HOLD
2026-05-16T15:01:54.977516+00:00,MSFT,MSFTx/USD,422.0400085449219,412.09708,-2.355920847220707,0.0,0.0,,3.839947822356968,-55,NEGATIVE WATCH,DISCOUNT,MEDIUM NEGATIVE,"Tokenized price is trading below the underlying equity. Order book imbalance data is unavailable. Liquidity depth is thin, so the signal is less reliable. Spread is wide.",HOLD
2026-05-16T15:01:55.490751+00:00,AMZN,AMZNx/USD,264.2099914550781,264.26,0.0189275752390948,,,,,-10,NEUTRAL,NO MATERIAL DISLOCATION,LOW,"Tokenized price is close to the underlying equity. Order book imbalance data is unavailable. Liquidity depth is thin, so the signal is less reliable. Spread data is unavailable.",HOLD
2026-06-03T13:54:14.426724+00:00,AAPL,AAPLx/USD,315.5950012207031,316.25,0.20754409187831802,204917.36705911998,196918.87994907002,0.019904842257515255,0.09819604364972592,25,NEUTRAL,NO MATERIAL DISLOCATION,LOW,Tokenized price is close to the underlying equity. Order book pressure is balanced. Liquidity depth is sufficient. Spread is tight.,HOLD
2026-06-03T13:54:14.967042+00:00,NVDA,NVDAx/USD,216.99000549316406,216.38,-0.2811214699855309,76527.71893184,148821.13750377,-0.3208066804305561,0.18438277864846375,0,NEUTRAL,NO MATERIAL DISLOCATION,LOW,Tokenized price is close to the underlying equity. Seller pressure is stronger than buyer pressure. Liquidity depth is sufficient. Spread is tight.,HOLD
2026-06-03T13:54:15.353207+00:00,TSLA,TSLAx/USD,423.6199951171875,420.12,-0.8262110281690738,204965.77944581,200009.91580928,0.012237434726566385,0.15120015120016142,25,NEUTRAL,NO MATERIAL DISLOCATION,LOW,Tokenized price is close to the underlying equity. Order book pressure is balanced. Liquidity depth is sufficient. Spread is tight.,HOLD
2026-06-03T13:54:15.748416+00:00,MSFT,MSFTx/USD,431.6099853515625,446.99,3.5634056602999835,6.213832150000001,20000.001667800003,-0.999378809835372,0.7717409973092126,-5,NEUTRAL,PREMIUM,LOW,"Tokenized price is trading above the underlying equity. Seller pressure is stronger than buyer pressure. Liquidity depth is thin, so the signal is less reliable. Spread is moderate.",HOLD
2026-06-03T13:54:16.123050+00:00,AMZN,AMZNx/USD,254.63009643554688,260.89,2.458430347426604,0.0,0.0,,3.016496465043208,5,NEUTRAL,PREMIUM,LOW,"Tokenized price is trading above the underlying equity. Order book imbalance data is unavailable. Liquidity depth is thin, so the signal is less reliable. Spread is wide.",HOLD
